timestamp,connectionCount,pendingMessageCount,pendingMessageSize,inboundMessageCount,outboundMessageCount,outboundMessageRate,inboundMessageRate,producerCount,consumerCount,topicCount,queueCount,largeDestCount,msgMem,asyncDBSize,diskWriteRate,sessionCount,diskReadRate,syncDBSize,durableCount,outboundBytesRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,inboundBytesRate,routeRecoverCount,diskReadOperationsRate,msgMemPooled,RespTime
Tue Feb 18 21:38:38 272 CET 2020,3,0,0,221,219,0,0,2,4,9,9,-1,23248,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:39:08 276 CET 2020,3,0,0,224,222,0,0,2,4,9,9,-1,23248,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:39:38 279 CET 2020,3,0,0,227,225,0,0,2,4,9,9,-1,23248,3584,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:40:08 295 CET 2020,4,1,115,235,232,1,1,3,4,9,9,-1,28275,3584,0,4,0,2048,0,2196,0,2,2,210,0,0,53248,13
Tue Feb 18 21:40:38 311 CET 2020,4,2,230,239,235,0,0,4,4,9,9,-1,28568,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,13
Tue Feb 18 21:41:08 314 CET 2020,3,2,230,242,238,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:41:38 317 CET 2020,3,2,230,245,241,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:42:08 321 CET 2020,3,2,230,248,244,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:42:38 325 CET 2020,3,2,230,251,247,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:43:08 329 CET 2020,3,2,230,254,250,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:43:38 332 CET 2020,3,2,230,263,259,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:44:08 335 CET 2020,3,2,230,266,262,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:44:38 338 CET 2020,3,2,230,269,265,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:45:08 341 CET 2020,3,2,230,272,268,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:45:38 344 CET 2020,3,2,230,275,271,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:46:08 348 CET 2020,3,2,230,278,274,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:46:38 351 CET 2020,3,2,230,281,277,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:47:08 355 CET 2020,3,2,230,284,280,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:47:38 359 CET 2020,3,2,230,287,283,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:48:08 361 CET 2020,3,2,230,290,286,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,0
Tue Feb 18 21:48:38 365 CET 2020,3,2,230,293,289,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:49:08 371 CET 2020,3,2,230,296,292,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:49:38 374 CET 2020,3,2,230,299,295,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:50:08 377 CET 2020,3,2,230,302,298,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:50:38 381 CET 2020,3,2,230,305,301,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,1
Tue Feb 18 21:51:08 385 CET 2020,3,2,230,308,304,0,0,2,4,9,9,-1,23904,12288,0,3,0,2048,0,0,0,2,1,0,0,0,53248,2
Tue Feb 18 21:51:38 393 CET 2020,4,3,346,314,309,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,6
Tue Feb 18 21:52:08 396 CET 2020,4,3,346,317,312,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 21:52:38 399 CET 2020,4,3,346,320,315,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:53:08 401 CET 2020,4,3,346,323,318,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:53:38 405 CET 2020,4,3,346,326,321,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:54:08 408 CET 2020,4,3,346,329,324,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 21:54:38 412 CET 2020,4,3,346,332,327,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:55:08 415 CET 2020,4,3,346,335,330,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 21:55:38 418 CET 2020,4,3,346,338,333,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:56:08 421 CET 2020,4,3,346,341,336,0,0,3,4,9,9,-1,28931,12288,0,4,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:56:38 453 CET 2020,4,4,462,345,339,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,16
Tue Feb 18 21:57:08 457 CET 2020,4,4,462,348,342,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 21:57:38 460 CET 2020,4,4,462,351,345,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 21:58:08 463 CET 2020,4,4,462,354,348,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 21:58:38 466 CET 2020,4,4,462,357,351,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 21:59:08 470 CET 2020,4,4,462,360,354,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,0
Tue Feb 18 21:59:38 472 CET 2020,4,4,462,363,357,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:00:08 475 CET 2020,4,4,462,366,360,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:00:38 477 CET 2020,4,4,462,369,363,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:01:08 481 CET 2020,4,4,462,372,366,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:01:38 485 CET 2020,4,4,462,375,369,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:02:08 488 CET 2020,4,4,462,378,372,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:02:38 492 CET 2020,4,4,462,381,375,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:03:08 514 CET 2020,4,4,462,384,378,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,21
Tue Feb 18 22:03:38 517 CET 2020,4,4,462,387,381,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,0
Tue Feb 18 22:04:08 519 CET 2020,4,4,462,390,384,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:04:38 523 CET 2020,4,4,462,393,387,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:05:08 526 CET 2020,4,4,462,396,390,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:05:38 528 CET 2020,4,4,462,399,393,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:06:08 531 CET 2020,4,4,462,402,396,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:06:38 534 CET 2020,4,4,462,405,399,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,0
Tue Feb 18 22:07:08 537 CET 2020,4,4,462,408,402,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:07:38 540 CET 2020,4,4,462,411,405,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:08:08 544 CET 2020,4,4,462,414,408,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:08:38 548 CET 2020,4,4,462,417,411,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:09:08 553 CET 2020,4,4,462,420,414,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:09:38 555 CET 2020,4,4,462,423,417,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:10:08 558 CET 2020,4,4,462,426,420,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:10:38 561 CET 2020,4,4,462,429,423,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:11:08 564 CET 2020,4,4,462,432,426,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:11:38 567 CET 2020,4,4,462,435,429,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,0
Tue Feb 18 22:12:08 570 CET 2020,4,4,462,438,432,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:12:38 573 CET 2020,4,4,462,441,435,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:13:08 577 CET 2020,4,4,462,444,438,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:13:38 579 CET 2020,4,4,462,447,441,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,0
Tue Feb 18 22:14:08 582 CET 2020,4,4,462,450,444,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:14:38 585 CET 2020,4,4,462,453,447,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:15:08 588 CET 2020,4,4,462,456,450,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:15:38 590 CET 2020,4,4,462,459,453,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:16:08 593 CET 2020,4,4,462,462,456,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:16:38 596 CET 2020,4,4,462,465,459,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:17:08 600 CET 2020,4,4,462,468,462,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:17:38 603 CET 2020,4,4,462,471,465,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:18:08 606 CET 2020,4,4,462,474,468,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:18:38 609 CET 2020,4,4,462,477,471,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,0
Tue Feb 18 22:19:08 611 CET 2020,4,4,462,480,474,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,1
Tue Feb 18 22:19:38 616 CET 2020,4,4,462,483,477,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
Tue Feb 18 22:20:08 619 CET 2020,4,4,462,486,480,0,0,4,4,9,9,-1,29259,12288,0,5,0,2048,0,0,0,2,2,0,0,0,53248,2
