timestamp,topicCount,consumerCount,queueCount,producerCount,sessionCount,connectionCount,durableCount,msgMem,diskReadRate,diskWriteRate,syncDBSize,asyncDBSize,pendingMessageCount,pendingMessageSize,outboundMessageCount,inboundMessageCount,inboundMessageRate,outboundMessageRate,routeRecoverCount,diskReadOperationsRate,outboundBytesRate,diskWriteOperationsRate,inboundBytesRate,msgMemPooled,RespTime
Wed Feb 21 15:58:19 794 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2226,2227,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:58:49 807 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2228,2229,0,0,0,0,0,0,0,53248,0
Wed Feb 21 15:59:19 815 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2230,2231,0,0,0,0,0,0,0,53248,1
Wed Feb 21 15:59:49 831 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2232,2233,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:00:19 851 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2234,2235,0,0,0,0,0,0,0,53248,2
Wed Feb 21 16:00:49 856 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2236,2237,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:01:19 873 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2238,2239,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:01:49 879 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2240,2241,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:02:19 884 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2242,2243,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:02:49 895 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2244,2245,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:03:19 908 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2246,2247,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:03:49 926 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2248,2249,0,0,0,0,0,0,0,53248,2
Wed Feb 21 16:04:19 938 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2250,2251,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:04:49 945 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2252,2253,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:05:19 950 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2254,2255,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:05:49 960 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2256,2257,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:06:19 970 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2258,2259,0,0,0,0,0,0,0,53248,3
Wed Feb 21 16:06:49 984 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2260,2261,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:07:19 999 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2262,2263,0,0,0,0,0,0,0,53248,2
Wed Feb 21 16:07:50 017 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2264,2265,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:08:20 032 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2266,2267,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:08:50 038 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2268,2269,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:09:20 052 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2270,2271,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:09:50 065 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2272,2273,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:10:20 068 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2274,2275,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:10:50 071 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2276,2277,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:11:20 080 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2278,2279,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:11:50 097 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2280,2281,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:12:20 110 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2282,2283,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:12:50 132 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2284,2285,0,0,0,0,0,0,0,53248,0
Wed Feb 21 16:13:20 136 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2286,2287,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:13:50 141 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2288,2289,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:14:20 152 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2290,2291,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:14:50 158 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2292,2293,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:15:20 173 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2294,2295,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:15:50 190 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2296,2297,0,0,0,0,0,0,0,53248,0
Wed Feb 21 16:16:20 209 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2298,2299,0,0,0,0,0,0,0,53248,4
Wed Feb 21 16:16:50 221 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2300,2301,0,0,0,0,0,0,0,53248,0
Wed Feb 21 16:17:20 227 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2302,2303,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:17:50 235 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2304,2305,0,0,0,0,0,0,0,53248,0
Wed Feb 21 16:18:20 252 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2306,2307,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:18:50 255 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2308,2309,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:19:20 268 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2310,2311,0,0,0,0,0,0,0,53248,1
Wed Feb 21 16:19:50 276 CST 2024,8,3,8,1,2,2,3,19493,0,0,1536,36352,6,6574,2312,2313,0,0,0,0,0,0,0,53248,1
