timestamp,inboundMessageCount,pendingMessageCount,outboundMessageRate,pendingMessageSize,outboundMessageCount,inboundMessageRate,topicCount,queueCount,consumerCount,producerCount,sessionCount,asyncDBSize,diskReadRate,durableCount,msgMem,syncDBSize,connectionCount,diskWriteRate,routeRecoverCount,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,msgMemPooled,RespTime
Thu Feb 22 11:17:18 834 CST 2024,278,6,0,6574,277,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:17:48 851 CST 2024,281,6,0,6574,280,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:18:18 863 CST 2024,284,6,0,6574,283,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,3
Thu Feb 22 11:18:48 885 CST 2024,287,6,0,6574,286,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,6
Thu Feb 22 11:19:18 899 CST 2024,290,6,0,6574,289,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:19:48 920 CST 2024,293,6,0,6574,292,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:20:18 940 CST 2024,296,6,0,6574,295,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:20:48 955 CST 2024,299,6,0,6574,298,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:21:18 964 CST 2024,302,6,0,6574,301,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:21:48 985 CST 2024,305,6,0,6574,304,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:22:19 004 CST 2024,308,6,0,6574,307,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:22:49 011 CST 2024,311,6,0,6574,310,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:23:19 029 CST 2024,314,6,0,6574,313,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,7
Thu Feb 22 11:23:49 069 CST 2024,317,6,0,6574,316,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,20
Thu Feb 22 11:24:19 090 CST 2024,320,6,0,6574,319,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:24:49 106 CST 2024,323,6,0,6574,322,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:25:19 115 CST 2024,326,6,0,6574,325,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:25:49 125 CST 2024,329,6,0,6574,328,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:26:19 145 CST 2024,332,6,0,6574,331,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,4
Thu Feb 22 11:26:49 160 CST 2024,335,6,0,6574,334,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
Thu Feb 22 11:27:19 182 CST 2024,338,6,0,6574,337,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,6
Thu Feb 22 11:27:49 189 CST 2024,341,6,0,6574,340,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,1
Thu Feb 22 11:28:19 195 CST 2024,344,6,0,6574,343,0,8,8,3,1,2,36352,0,3,19165,2048,2,0,0,0,0,0,0,53248,2
