timestamp,connectionCount,consumerCount,queueCount,topicCount,producerCount,outboundMessageRate,outboundMessageCount,pendingMessageSize,inboundMessageRate,pendingMessageCount,inboundMessageCount,msgMem,diskWriteRate,sessionCount,diskReadRate,asyncDBSize,durableCount,syncDBSize,msgMemPooled,inboundBytesRate,diskReadOperationsRate,routeRecoverCount,diskWriteOperationsRate,outboundBytesRate,RespTime
Mon Feb 12 16:36:03 154 CST 2024,3,4,9,7,2,0,269,0,0,0,270,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:36:33 184 CST 2024,3,4,9,7,2,0,272,0,0,0,273,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,9
Mon Feb 12 16:37:03 189 CST 2024,3,4,9,7,2,0,275,0,0,0,276,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:37:33 207 CST 2024,3,4,9,7,2,0,278,0,0,0,279,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,5
Mon Feb 12 16:38:03 242 CST 2024,3,4,9,7,2,0,281,0,0,0,282,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:38:33 258 CST 2024,3,4,9,7,2,0,284,0,0,0,285,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:39:03 342 CST 2024,3,4,9,7,2,0,287,0,0,0,288,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:39:33 347 CST 2024,3,4,9,7,2,0,290,0,0,0,291,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:40:03 435 CST 2024,3,4,9,7,2,0,293,0,0,0,294,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:40:33 447 CST 2024,3,4,9,7,2,0,296,0,0,0,297,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:41:03 531 CST 2024,3,4,9,7,2,0,299,0,0,0,300,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,4
Mon Feb 12 16:41:33 541 CST 2024,3,4,9,7,2,0,302,0,0,0,303,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:42:03 609 CST 2024,3,4,9,7,2,0,305,0,0,0,306,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:42:33 634 CST 2024,3,4,9,7,2,0,308,0,0,0,309,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,7
Mon Feb 12 16:43:03 688 CST 2024,3,4,9,7,2,0,311,0,0,0,312,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:43:33 695 CST 2024,3,4,9,7,2,0,314,0,0,0,315,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,2
Mon Feb 12 16:44:03 704 CST 2024,3,4,9,7,2,0,317,0,0,0,318,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,0
Mon Feb 12 16:44:33 722 CST 2024,3,4,9,7,2,0,320,0,0,0,321,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,5
Mon Feb 12 16:45:03 734 CST 2024,3,4,9,7,2,0,323,0,0,0,324,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,1
Mon Feb 12 16:45:33 751 CST 2024,3,4,9,7,2,0,326,0,0,0,327,23248,0,3,0,3072,0,1536,53248,0,0,0,0,0,3
