timestamp,pendingMessageCount,pendingMessageSize,inboundMessageCount,inboundMessageRate,outboundMessageCount,outboundMessageRate,consumerCount,producerCount,queueCount,topicCount,connectionCount,sessionCount,durableCount,diskWriteRate,diskReadRate,syncDBSize,asyncDBSize,msgMem,msgMemPooled,diskWriteOperationsRate,inboundBytesRate,diskReadOperationsRate,outboundBytesRate,routeRecoverCount,RespTime
Fri Feb 16 12:43:53 306 CST 2024,6,6574,435,0,434,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:44:23 385 CST 2024,6,6574,438,0,437,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:44:53 393 CST 2024,6,6574,441,0,440,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:45:23 399 CST 2024,6,6574,444,0,443,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:45:53 412 CST 2024,6,6574,447,0,446,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:46:23 416 CST 2024,6,6574,450,0,449,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:46:53 432 CST 2024,6,6574,453,0,452,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:47:23 436 CST 2024,6,6574,456,0,455,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:47:53 438 CST 2024,6,6574,459,0,458,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:48:23 442 CST 2024,6,6574,462,0,461,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:48:53 448 CST 2024,6,6574,465,0,464,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:49:23 461 CST 2024,6,6574,468,0,467,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:49:53 470 CST 2024,6,6574,471,0,470,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:50:23 481 CST 2024,6,6574,474,0,473,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:50:53 498 CST 2024,6,6574,477,0,476,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:51:23 508 CST 2024,6,6574,480,0,479,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:51:53 534 CST 2024,6,6574,483,0,482,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:52:23 539 CST 2024,6,6574,486,0,485,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:52:53 560 CST 2024,6,6574,489,0,488,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,5
Fri Feb 16 12:53:23 569 CST 2024,6,6574,492,0,491,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:53:53 591 CST 2024,6,6574,495,0,494,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,2
Fri Feb 16 12:54:23 615 CST 2024,6,6574,498,0,497,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:54:53 627 CST 2024,6,6574,501,0,500,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:55:23 632 CST 2024,6,6574,504,0,503,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:55:53 648 CST 2024,6,6574,507,0,506,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:56:23 661 CST 2024,6,6574,510,0,509,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:56:53 672 CST 2024,6,6574,513,0,512,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:57:23 680 CST 2024,6,6574,516,0,515,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,3
Fri Feb 16 12:57:53 793 CST 2024,6,6574,519,0,518,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:58:23 798 CST 2024,6,6574,522,0,521,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:58:53 801 CST 2024,6,6574,525,0,524,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 12:59:23 806 CST 2024,6,6574,528,0,527,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 12:59:53 811 CST 2024,6,6574,531,0,530,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 13:00:23 824 CST 2024,6,6574,534,0,533,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 13:00:53 839 CST 2024,6,6574,537,0,536,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 13:01:23 853 CST 2024,6,6574,540,0,539,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,7
Fri Feb 16 13:01:53 876 CST 2024,6,6574,543,0,542,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 13:02:23 880 CST 2024,6,6574,546,0,545,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 13:02:53 896 CST 2024,6,6574,549,0,548,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,0
Fri Feb 16 13:03:23 910 CST 2024,6,6574,552,0,551,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
Fri Feb 16 13:03:53 974 CST 2024,6,6574,555,0,554,0,3,10,8,8,3,17,3,0,0,2048,36352,24861,53248,0,0,0,0,0,1
