timestamp,durableCount,diskReadRate,msgMem,sessionCount,syncDBSize,asyncDBSize,diskWriteRate,topicCount,consumerCount,producerCount,queueCount,pendingMessageCount,largeDestCount,connectionCount,inboundMessageCount,pendingMessageSize,outboundMessageRate,outboundMessageCount,inboundMessageRate,msgMemPooled,inboundBytesRate,outboundBytesRate,diskReadOperationsRate,diskWriteOperationsRate,adminConnectionCount,clientConnectionCount,routeRecoverCount,RespTime
Mon Sep 02 12:20:26 422 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,861,0,0,860,0,53248,0,0,0,0,-1,-1,0,14
Mon Sep 02 12:20:56 426 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,864,0,0,863,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:21:26 429 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,867,0,0,866,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:21:56 432 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,870,0,0,869,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:22:26 448 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,875,0,0,874,0,53248,0,0,0,0,-1,-1,0,13
Mon Sep 02 12:22:56 452 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,878,0,0,877,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:23:26 456 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,881,0,0,880,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:23:56 460 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,884,0,0,883,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:24:26 461 BST 2019,0,0,12863,1,1536,4608,0,5,1,1,9,0,0,1,887,0,0,886,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:24:56 476 BST 2019,0,0,18357,3,1536,4096,0,5,2,1,9,0,0,2,892,0,0,891,0,53248,0,0,0,0,-1,-1,0,13
Mon Sep 02 12:25:26 510 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,897,0,0,896,0,53248,0,0,0,0,-1,-1,0,33
Mon Sep 02 12:25:56 515 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,900,0,0,899,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:26:26 518 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,903,0,0,902,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:26:56 519 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,906,0,0,905,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:27:26 522 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,909,0,0,908,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:27:56 523 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,912,0,0,911,0,53248,0,0,0,0,-1,-1,0,0
Mon Sep 02 12:28:26 526 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,915,0,0,914,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:28:56 528 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,918,0,0,917,0,53248,0,0,0,0,-1,-1,0,1
Mon Sep 02 12:29:26 532 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,921,0,0,920,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:29:56 536 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,924,0,0,923,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:30:26 540 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,927,0,0,926,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:30:56 544 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,930,0,0,929,0,53248,0,0,0,0,-1,-1,0,2
Mon Sep 02 12:31:26 549 BST 2019,0,0,18522,3,1536,4608,0,5,2,1,9,0,0,2,933,0,0,932,0,53248,0,0,0,0,-1,-1,0,2
