timestamp,largeDestCount,inboundMessageRate,pendingMessageSize,connectionCount,inboundMessageCount,outboundMessageRate,pendingMessageCount,outboundMessageCount,sessionCount,durableCount,diskWriteRate,asyncDBSize,syncDBSize,diskReadRate,msgMem,queueCount,producerCount,topicCount,consumerCount,msgMemPooled,routeRecoverCount,outboundBytesRate,diskReadOperationsRate,clientConnectionCount,inboundBytesRate,adminConnectionCount,diskWriteOperationsRate,RespTime
Tue Sep 03 13:10:59 343 BST 2019,0,0,0,2,3443,0,0,3442,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:11:29 347 BST 2019,0,0,0,2,3446,0,0,3445,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:11:59 352 BST 2019,0,0,0,2,3449,0,0,3448,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:12:29 354 BST 2019,0,0,0,2,3452,0,0,3451,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:12:59 358 BST 2019,0,0,0,2,3455,0,0,3454,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:13:29 361 BST 2019,0,0,0,2,3458,0,0,3457,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:13:59 363 BST 2019,0,0,0,2,3461,0,0,3460,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:14:29 366 BST 2019,0,0,0,2,3464,0,0,3463,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:14:59 370 BST 2019,0,0,0,2,3467,0,0,3466,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:15:29 374 BST 2019,0,0,0,2,3470,0,0,3469,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:15:59 378 BST 2019,0,0,0,2,3473,0,0,3472,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:16:29 380 BST 2019,0,0,0,2,3476,0,0,3475,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:16:59 391 BST 2019,0,0,0,2,3479,0,0,3478,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:17:29 394 BST 2019,0,0,0,2,3482,0,0,3481,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:17:59 398 BST 2019,0,0,0,2,3485,0,0,3484,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:18:29 402 BST 2019,0,0,0,2,3488,0,0,3487,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:18:59 407 BST 2019,0,0,0,2,3491,0,0,3490,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:19:29 411 BST 2019,0,0,0,2,3494,0,0,3493,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:19:59 415 BST 2019,0,0,0,2,3497,0,0,3496,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:20:29 419 BST 2019,0,0,0,2,3500,0,0,3499,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:20:59 422 BST 2019,0,0,0,2,3503,0,0,3502,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:21:29 425 BST 2019,0,0,0,2,3506,0,0,3505,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:21:59 428 BST 2019,0,0,0,2,3509,0,0,3508,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,1
Tue Sep 03 13:22:29 429 BST 2019,0,0,0,2,3512,0,0,3511,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:22:59 431 BST 2019,0,0,0,2,3515,0,0,3514,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:23:29 433 BST 2019,0,0,0,2,3518,0,0,3517,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
Tue Sep 03 13:23:59 437 BST 2019,0,0,0,2,3521,0,0,3520,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:24:29 441 BST 2019,0,0,0,2,3524,0,0,3523,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:24:59 445 BST 2019,0,0,0,2,3527,0,0,3526,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,2
Tue Sep 03 13:25:29 447 BST 2019,0,0,0,2,3530,0,0,3529,2,0,0,3584,1536,0,17529,10,1,7,3,53248,0,0,0,-1,0,-1,0,0
